REGIONTYPE,REGION,YEAR,WEEK,PERCENTWEIGHTEDILI,PERCENTUNWEIGHTEDILI,AGE04,AGE2549,AGE2564,AGE524,AGE5064,AGE65,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
States,Alabama,2013,40,X,1.59044,X,X,X,X,X,X,201,27,12638
States,Alaska,2013,40,X,0.6238,X,X,X,X,X,X,13,9,2084
States,Arizona,2013,40,X,0.792311,X,X,X,X,X,X,230,59,29029
States,Arkansas,2013,40,X,1.63326,X,X,X,X,X,X,66,18,4041
States,California,2013,40,X,1.52479,X,X,X,X,X,X,633,137,41514
States,Colorado,2013,40,X,0.652244,X,X,X,X,X,X,142,9,21771
States,Connecticut,2013,40,X,0.701388,X,X,X,X,X,X,47,27,6701
States,Delaware,2013,40,X,0.49636,X,X,X,X,X,X,15,12,3022
States,District of Columbia,2013,40,X,5.41463,X,X,X,X,X,X,111,3,2050
States,Florida,2013,40,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2013,40,X,1.00692,X,X,X,X,X,X,380,41,37739
States,Hawaii,2013,40,X,1.25261,X,X,X,X,X,X,18,16,1437
States,Idaho,2013,40,X,0.5631,X,X,X,X,X,X,17,8,3019
States,Illinois,2013,40,X,1.41144,X,X,X,X,X,X,859,105,60860
States,Indiana,2013,40,X,0.918555,X,X,X,X,X,X,90,38,9798
States,Iowa,2013,40,X,0.170691,X,X,X,X,X,X,62,21,36323
States,Kansas,2013,40,X,0.333611,X,X,X,X,X,X,24,32,7194
States,Kentucky,2013,40,X,0.242983,X,X,X,X,X,X,49,17,20166
States,Louisiana,2013,40,X,2.02694,X,X,X,X,X,X,596,49,29404
States,Maine,2013,40,X,0.823958,X,X,X,X,X,X,52,33,6311
States,Maryland,2013,40,X,0.544569,X,X,X,X,X,X,57,18,10467
States,Massachusetts,2013,40,X,0.621216,X,X,X,X,X,X,196,57,31551
States,Michigan,2013,40,X,1.1005,X,X,X,X,X,X,182,48,16538
States,Minnesota,2013,40,X,0.259572,X,X,X,X,X,X,12,12,4623
States,Mississippi,2013,40,X,2.57892,X,X,X,X,X,X,415,40,16092
States,Missouri,2013,40,X,1.10175,X,X,X,X,X,X,85,22,7715
States,Montana,2013,40,X,0.0852152,X,X,X,X,X,X,2,8,2347
States,Nebraska,2013,40,X,0.469484,X,X,X,X,X,X,11,15,2343
States,Nevada,2013,40,X,0.584908,X,X,X,X,X,X,91,34,15558
States,New Hampshire,2013,40,X,0.0760601,X,X,X,X,X,X,4,28,5259
States,New Jersey,2013,40,X,1.51614,X,X,X,X,X,X,162,22,10685
States,New Mexico,2013,40,X,1.84558,X,X,X,X,X,X,207,28,11216
